turn://212.66.105.99:3478 ALL  [商企IP] NO_AUTH None
turn://195.80.16.9:3478 ALL  [商企IP] NO_AUTH 
turn://195.80.16.8:3478 ALL  [商企IP] NO_AUTH 
turn://195.80.50.91:3478 ALL  [商企IP] NO_AUTH 
turn://83.68.35.165:3478 ALL  [商企IP] NO_AUTH Coturn-4.5.2 'dan Eider'
turn://195.142.6.170:3478 ALL  [商企IP] NO_AUTH Coturn-4.5.1.1 'dan Eider'
turn://217.150.203.242:3478 ALL  [商企IP] NO_AUTH Coturn-4.6.1 'Gorst'
turn://46.39.0.53:3478 ALL  [商企IP] NO_AUTH Coturn-4.5.2 'dan Eider'
turn://125.253.55.109:3478 ALL  [商企IP] NO_AUTH 
turn://213.184.131.218:3478 ALL  [商企IP] NO_AUTH Coturn-4.5.2 'dan Eider'
turn://94.136.71.45:3478 ALL  [商企IP] NO_AUTH Coturn-4.5.1.1 'dan Eider'
turn://190.94.243.45:3478 ALL  [商企IP] NO_AUTH Citrix-3.2.2.1 'Marshal West'
turn://103.31.82.171:3478 ALL  [商企IP] NO_AUTH Coturn-4.6.2 'Gorst'
turn://103.31.83.149:3478 ALL  [商企IP] NO_AUTH Coturn-4.6.1 'Gorst'
turn://125.209.157.191:3478 ALL  [商企IP] NO_AUTH 
turn://163.47.131.236:3478 ALL  [商企IP] NO_AUTH 
turn://163.47.131.237:3478 ALL  [商企IP] NO_AUTH 
turn://103.204.200.67:3478 ALL  [商企IP] NO_AUTH Coturn-4.5.2 'dan Eider'
turn://177.125.244.38:3478 ALL  [商企IP] NO_AUTH Coturn-4.5.2 'dan Eider'
turn://31.57.174.44:3478 ALL  [商企IP] NO_AUTH Coturn-4.6.1 'Gorst'
turn://31.57.174.67:3478 ALL  [商企IP] NO_AUTH Coturn-4.6.1 'Gorst'
turn://31.57.174.86:3478 ALL  [商企IP] NO_AUTH Coturn-4.6.1 'Gorst'
turn://31.57.174.91:3478 ALL  [商企IP] NO_AUTH Coturn-4.6.1 'Gorst'
turn://45.224.131.40:3478 ALL  [商企IP] NO_AUTH Coturn-4.6.1 'Gorst'
turn://31.57.35.175:3478 ALL  [商企IP] NO_AUTH Coturn-4.5.2 'dan Eider'
turn://31.57.106.45:3478 ALL  [商企IP] NO_AUTH Coturn-4.5.2 'dan Eider'
turn://31.57.174.44:3478 ALL  [商企IP] NO_AUTH Coturn-4.6.1 'Gorst'
turn://31.57.174.67:3478 ALL  [商企IP] NO_AUTH Coturn-4.6.1 'Gorst'
turn://31.57.174.86:3478 ALL  [商企IP] NO_AUTH Coturn-4.6.1 'Gorst'
turn://31.57.174.91:3478 ALL  [商企IP] NO_AUTH Coturn-4.6.1 'Gorst'
turn://31.57.243.94:3478 UDP  [] CRED(test:test) flashphoner
turn://176.57.72.140:3478 ALL  [商企IP] NO_AUTH Coturn-4.6.1 'Gorst'
turn://176.57.72.151:3478 ALL  [商企IP] NO_AUTH Coturn-4.6.1 'Gorst'
turn://176.57.72.165:3478 ALL  [商企IP] NO_AUTH Coturn-4.6.1 'Gorst'
turn://74.50.66.141:3478 ALL  [商企IP] NO_AUTH Coturn-4.6.1 'Gorst'
